ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
NGA,Nigeria,rural,Drinking water,2000,23.79831,18973099.47026,Basic service
NGA,Nigeria,urban,Drinking water,2000,49.54796,21121025.74362,Basic service
NGA,Nigeria,rural,Drinking water,2000,5.69765,4542423.29009,Limited service
NGA,Nigeria,urban,Drinking water,2000,15.03409,6408648.81163,Limited service
NGA,Nigeria,rural,Drinking water,2000,11.0769,8831013.19347,Safely managed service
NGA,Nigeria,urban,Drinking water,2000,23.43227,9988578.23634,Safely managed service
NGA,Nigeria,rural,Drinking water,2000,33.91164,27035911.87832,Surface water
NGA,Nigeria,urban,Drinking water,2000,6.71562,2862697.07354,Surface water
NGA,Nigeria,rural,Drinking water,2000,25.5155,20342120.39397,Unimproved
NGA,Nigeria,urban,Drinking water,2000,5.27006,2246489.90876,Unimproved
NGA,Nigeria,rural,Drinking water,2001,24.5933,19849718.09294,Basic service
NGA,Nigeria,urban,Drinking water,2001,49.69826,22240741.75737,Basic service
NGA,Nigeria,rural,Drinking water,2001,5.88798,4752297.95261,Limited service
NGA,Nigeria,urban,Drinking water,2001,15.0797,6748398.72662,Limited service
NGA,Nigeria,rural,Drinking water,2001,11.44693,9239034.59423,Safely managed service
NGA,Nigeria,urban,Drinking water,2001,23.50335,10518115.53919,Safely managed service
NGA,Nigeria,rural,Drinking water,2001,33.91164,27370727.97353,Surface water
NGA,Nigeria,urban,Drinking water,2001,6.71562,3005344.44321,Surface water
NGA,Nigeria,rural,Drinking water,2001,24.16014,19500108.58121,Unimproved
NGA,Nigeria,urban,Drinking water,2001,5.00307,2238952.33909,Unimproved
NGA,Nigeria,rural,Drinking water,2002,25.49756,20829736.69857,Basic service
NGA,Nigeria,urban,Drinking water,2002,50.48976,23716880.92246,Basic service
NGA,Nigeria,rural,Drinking water,2002,6.03951,4933862.93202,Limited service
NGA,Nigeria,urban,Drinking water,2002,14.4841,6803707.14435,Limited service
NGA,Nigeria,rural,Drinking water,2002,11.7465,9596072.86013,Safely managed service
NGA,Nigeria,urban,Drinking water,2002,23.57443,11073769.91008,Safely managed service
NGA,Nigeria,rural,Drinking water,2002,32.60317,26634529.32753,Surface water
NGA,Nigeria,urban,Drinking water,2002,6.41047,3011231.6158,Surface water
NGA,Nigeria,rural,Drinking water,2002,24.11327,19698867.71084,Unimproved
NGA,Nigeria,urban,Drinking water,2002,5.04124,2368052.87821,Unimproved
NGA,Nigeria,rural,Drinking water,2003,26.40865,21832792.79822,Basic service
NGA,Nigeria,urban,Drinking water,2003,51.28514,25283395.879,Basic service
NGA,Nigeria,rural,Drinking water,2003,6.18862,5116307.36539,Limited service
NGA,Nigeria,urban,Drinking water,2003,13.88463,6845073.1917,Limited service
NGA,Nigeria,rural,Drinking water,2003,12.04165,9955175.09162,Safely managed service
NGA,Nigeria,urban,Drinking water,2003,23.64551,11657156.58143,Safely managed service
NGA,Nigeria,rural,Drinking water,2003,31.29469,25872221.72655,Surface water
NGA,Nigeria,urban,Drinking water,2003,6.10532,3009902.28745,Surface water
NGA,Nigeria,rural,Drinking water,2003,24.06639,19896374.7876,Unimproved
NGA,Nigeria,urban,Drinking water,2003,5.0794,2504128.29104,Unimproved
NGA,Nigeria,rural,Drinking water,2004,27.32659,22860610.45517,Basic service
NGA,Nigeria,urban,Drinking water,2004,52.08438,26946690.90281,Basic service
NGA,Nigeria,rural,Drinking water,2004,6.33529,5299915.47336,Limited service
NGA,Nigeria,urban,Drinking water,2004,13.28129,6871290.01085,Limited service
NGA,Nigeria,rural,Drinking water,2004,12.33238,10316903.66855,Safely managed service
NGA,Nigeria,urban,Drinking water,2004,23.71659,12270161.32984,Safely managed service
NGA,Nigeria,rural,Drinking water,2004,29.98622,25085571.88833,Surface water
NGA,Nigeria,urban,Drinking water,2004,5.80017,3000812.07809,Surface water
NGA,Nigeria,rural,Drinking water,2004,24.01951,20094003.53085,Unimproved
NGA,Nigeria,urban,Drinking water,2004,5.11757,2647656.66214,Unimproved
NGA,Nigeria,rural,Drinking water,2005,28.25138,23914867.41455,Basic service
NGA,Nigeria,urban,Drinking water,2005,52.88748,28712200.06701,Basic service
NGA,Nigeria,rural,Drinking water,2005,6.47954,5484945.68309,Limited service
NGA,Nigeria,urban,Drinking water,2005,12.67409,6880663.90872,Limited service
NGA,Nigeria,rural,Drinking water,2005,12.61871,10681771.94863,Safely managed service
NGA,Nigeria,urban,Drinking water,2005,23.78767,12914141.27556,Safely managed service
NGA,Nigeria,rural,Drinking water,2005,28.67774,24275786.72577,Surface water
NGA,Nigeria,urban,Drinking water,2005,5.49502,2983204.22971,Surface water
NGA,Nigeria,rural,Drinking water,2005,23.97263,20292898.8636,Unimproved
NGA,Nigeria,urban,Drinking water,2005,5.15573,2799007.88336,Unimproved
NGA,Nigeria,rural,Drinking water,2006,29.183,24995168.17628,Basic service
NGA,Nigeria,urban,Drinking water,2006,53.69445,30586696.91125,Basic service
NGA,Nigeria,rural,Drinking water,2006,6.62135,5671171.62716,Limited service
NGA,Nigeria,urban,Drinking water,2006,12.06302,6871621.29558,Limited service
NGA,Nigeria,rural,Drinking water,2006,12.90062,11049349.90708,Safely managed service
NGA,Nigeria,urban,Drinking water,2006,23.85875,13590983.11386,Safely managed service
NGA,Nigeria,rural,Drinking water,2006,27.36927,23441707.99029,Surface water
NGA,Nigeria,urban,Drinking water,2006,5.18987,2956376.76873,Surface water
NGA,Nigeria,rural,Drinking water,2006,23.92576,20492348.80233,Unimproved
NGA,Nigeria,urban,Drinking water,2006,5.1939,2958671.40745,Unimproved
NGA,Nigeria,rural,Drinking water,2007,30.12147,26100573.96969,Basic service
NGA,Nigeria,urban,Drinking water,2007,54.50529,32575615.31796,Basic service
NGA,Nigeria,rural,Drinking water,2007,6.76074,5858251.15697,Limited service
NGA,Nigeria,urban,Drinking water,2007,11.44809,6842058.825,Limited service
NGA,Nigeria,rural,Drinking water,2007,13.17812,11418981.33529,Safely managed service
NGA,Nigeria,urban,Drinking water,2007,23.92983,14301895.26146,Safely managed service
NGA,Nigeria,rural,Drinking water,2007,26.06079,22581952.00344,Surface water
NGA,Nigeria,urban,Drinking water,2007,4.88472,2919401.37164,Surface water
NGA,Nigeria,rural,Drinking water,2007,23.87888,20691300.15059,Unimproved
NGA,Nigeria,urban,Drinking water,2007,5.23207,3126994.60796,Unimproved
NGA,Nigeria,rural,Drinking water,2008,31.06678,27229886.91282,Basic service
NGA,Nigeria,urban,Drinking water,2008,55.32,34684461.31966,Basic service
NGA,Nigeria,rural,Drinking water,2008,6.89769,6045795.88227,Limited service
NGA,Nigeria,urban,Drinking water,2008,10.82928,6789730.06578,Limited service
NGA,Nigeria,rural,Drinking water,2008,13.45121,11789918.91871,Safely managed service
NGA,Nigeria,urban,Drinking water,2008,24.00091,15048060.39791,Safely managed service
