Entity,Code,Year,Share of plastic inadequately managed (%)
Albania,ALB,2010,45
Algeria,DZA,2010,58
Angola,AGO,2010,71
Anguilla,AIA,2010,2
Antigua and Barbuda,ATG,2010,6
Argentina,ARG,2010,12
Aruba,ABW,2010,1
Bahamas,BHS,2010,1
Bahrain,BHR,2010,10
Bangladesh,BGD,2010,87
Barbados,BRB,2010,4
Belize,BLZ,2010,29
Benin,BEN,2010,83
Bosnia and Herzegovina,BIH,2010,40
Brazil,BRA,2010,9
Brunei,BRN,2010,1
Bulgaria,BGR,2010,31
Cambodia,KHM,2010,87
Cameroon,CMR,2010,81
Cape Verde,CPV,2010,74
Chile,CHL,2010,7
China,CHN,2010,74
Colombia,COL,2010,21
Comoros,COM,2010,83
Congo,COG,2010,77
Cook Islands,COK,2010,36
Costa Rica,CRI,2010,16
Cote d'Ivoire,CIV,2010,82
Croatia,HRV,2010,9
Cuba,CUB,2010,23
Democratic Republic of Congo,COD,2010,85
Djibouti,DJI,2010,73
Dominica,DMA,2010,19
Dominican Republic,DOM,2010,25
Ecuador,ECU,2010,30
Egypt,EGY,2010,67
El Salvador,SLV,2010,33
Equatorial Guinea,GNQ,2010,30
Eritrea,ERI,2010,77
Estonia,EST,2010,9
Fiji,FJI,2010,78
French Guiana,GUF,2010,25
French Polynesia,PYF,2010,3
Gabon,GAB,2010,34
Gambia,GMB,2010,84
Georgia,GEO,2010,51
Ghana,GHA,2010,81
Grenada,GRD,2010,18
Guadeloupe,GLP,2010,25
Guatemala,GTM,2010,36
Guinea,GIN,2010,84
Guinea-Bissau,GNB,2010,83
Guyana,GUY,2010,36
Haiti,HTI,2010,47
Honduras,HND,2010,40
Hong Kong,HKG,2010,1
India,IND,2010,85
Indonesia,IDN,2010,81
Iran,IRN,2010,50
Iraq,IRQ,2010,63
Israel,ISR,2010,1
Jamaica,JAM,2010,27
Jordan,JOR,2010,58
Kenya,KEN,2010,83
Kiribati,KIR,2010,84
Latvia,LVA,2010,14
Lebanon,LBN,2010,34
Liberia,LBR,2010,84
Libya,LBY,2010,23
Lithuania,LTU,2010,14
Madagascar,MDG,2010,84
Malaysia,MYS,2010,55
Maldives,MDV,2010,66
Malta,MLT,2010,6
Marshall Islands,MHL,2010,77
Mauritania,MRT,2010,82
Mauritius,MUS,2010,51
Mexico,MEX,2010,12
Micronesia (country),FSM,2010,81
Montenegro,MNE,2010,30
Montserrat,MSR,2010,12
Morocco,MAR,2010,66
Mozambique,MOZ,2010,84
Myanmar,MMR,2010,87
Namibia,NAM,2010,66
Nauru,NRU,2010,67
Nicaragua,NIC,2010,45
Nigeria,NGA,2010,81
Norfolk Island,NFK,2010,82
North Korea,PRK,2010,88
Oman,OMN,2010,4
Pakistan,PAK,2010,86
Palau,PLW,2010,56
Palestine,PSE,2010,6
Panama,PAN,2010,18
Papua New Guinea,PNG,2010,86
Peru,PER,2010,25
Philippines,PHL,2010,81
Poland,POL,2010,12
Puerto Rico,PRI,2010,2
Romania,ROU,2010,26
Russia,RUS,2010,16
Saint Helena,SHN,2010,25
Saint Kitts and Nevis,KNA,2010,6
Saint Lucia,LCA,2010,20
Saint Vincent and the Grenadines,VCT,2010,21
Samoa,WSM,2010,80
Sao Tome and Principe,STP,2010,81
Saudi Arabia,SAU,2010,8
Senegal,SEN,2010,82
Seychelles,SYC,2010,37
Sierra Leone,SLE,2010,84
Slovenia,SVN,2010,1
Solomon Islands,SLB,2010,86
Somalia,SOM,2010,85
South Africa,ZAF,2010,54
Sri Lanka,LKA,2010,82
Sudan,SDN,2010,80
Suriname,SUR,2010,15
Syria,SYR,2010,65
Tanzania,TZA,2010,84
Thailand,THA,2010,73
Togo,TGO,2010,84
Tokelau,TKL,2010,82
Tonga,TON,2010,78
Trinidad and Tobago,TTO,2010,3
Tunisia,TUN,2010,60
Turkey,TUR,2010,16
Tuvalu,TUV,2010,73
Ukraine,UKR,2010,49
Uruguay,URY,2010,8
Vanuatu,VUT,2010,81
Venezuela,VEN,2010,5
Vietnam,VNM,2010,86
Yemen,YEM,2010,73
